GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poseidon,com.nnk.springboot.controllers,LoginController,0,3,0,0,0,1,0,1,0,1
poseidon,com.nnk.springboot.controllers,HomeController,0,9,0,0,0,4,0,4,0,4
poseidon,com.nnk.springboot.controllers,CurveController,21,98,2,2,4,22,3,8,1,8
poseidon,com.nnk.springboot.controllers,UserController,129,88,7,3,29,19,8,10,3,10
poseidon,com.nnk.springboot.controllers,BidListController,11,92,0,0,0,20,1,8,1,8
poseidon,com.nnk.springboot.controllers,RatingController,21,96,2,2,4,22,3,8,1,8
poseidon,com.nnk.springboot.controllers,TradeController,11,92,0,0,0,20,1,8,1,8
poseidon,com.nnk.springboot.controllers,RuleNameController,21,98,2,2,4,22,3,8,1,8
poseidon,com.nnk.springboot.services,RuleNameService,12,68,3,3,4,15,3,4,0,4
poseidon,com.nnk.springboot.services,CurvePointService,8,76,3,3,2,18,3,4,0,4
poseidon,com.nnk.springboot.services,UserService,31,54,2,4,7,14,3,6,1,5
poseidon,com.nnk.springboot.services,BidListService,12,76,3,3,4,18,3,4,0,4
poseidon,com.nnk.springboot.services,TradeService,8,76,3,3,2,18,3,4,0,4
poseidon,com.nnk.springboot.services,RatingService,16,62,3,3,5,13,3,4,0,4
poseidon,com.nnk.springboot.Dto,RatingDto,236,0,34,0,1,0,32,0,15,0
poseidon,com.nnk.springboot.Dto,TradeDto,892,0,138,0,1,0,116,0,47,0
poseidon,com.nnk.springboot.Dto,SigninDto,92,33,22,0,0,1,14,6,3,6
poseidon,com.nnk.springboot.Dto,BidListDto,978,0,154,0,1,0,128,0,51,0
poseidon,com.nnk.springboot.Dto,RuleNameDto,331,0,56,0,1,0,47,0,19,0
poseidon,com.nnk.springboot.Dto,CurvePointDto,263,0,30,0,1,0,32,0,17,0
poseidon,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
poseidon,com.nnk.springboot.domain,Rating,151,85,30,4,0,1,20,12,3,12
poseidon,com.nnk.springboot.domain,RuleName,220,111,51,5,0,1,30,17,3,16
poseidon,com.nnk.springboot.domain,BidList,717,261,150,4,0,1,90,38,13,38
poseidon,com.nnk.springboot.domain,Trade,625,267,129,9,0,1,78,38,11,36
poseidon,com.nnk.springboot.domain,User,6,32,0,0,2,14,2,9,2,9
poseidon,com.nnk.springboot.domain,CurvePoint,162,101,26,4,0,1,17,15,2,15
